region,anzsic_descriptor,gas,units,magnitude,year,data_val
Hawke's Bay,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,2271.29
Hawke's Bay,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,2232.81
Manawatu-Whanganui,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,4842.29
Manawatu-Whanganui,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,4496.7
Manawatu-Whanganui,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,4467.27
Manawatu-Whanganui,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,4606.62
Manawatu-Whanganui,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,4605.42
Manawatu-Whanganui,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,4602.02
Manawatu-Whanganui,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,4460.97
Manawatu-Whanganui,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,4536.34
Manawatu-Whanganui,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,4563.86
Manawatu-Whanganui,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,4583.55
Manawatu-Whanganui,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,4429.68
Manawatu-Whanganui,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,4474.44
Marlborough,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,515.49
Marlborough,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,516.22
Marlborough,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,499.15
Marlborough,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,473.51
Marlborough,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,447.16
Marlborough,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,527.5
Marlborough,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,514.29
Marlborough,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,572.67
Marlborough,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,477.57
Marlborough,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,457.64
Marlborough,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,478.7
Marlborough,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,466.1
Northland,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,2275.96
Northland,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,2332.15
Northland,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,2246.07
Northland,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,2121.74
Northland,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,2134.12
Northland,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,2144.46
Northland,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,2132.04
Northland,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,1947.92
Northland,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,2097.62
Northland,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,2146.59
Northland,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,2104.41
Northland,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,2114.24
Otago,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,3547.43
Otago,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,3388.17
Otago,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,3423.31
Otago,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,3432.29
Otago,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,3574.17
Otago,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,3752.09
Otago,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,3784.08
Otago,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,3903.89
Otago,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,3860.06
Otago,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,3507.22
Otago,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,3512.53
Otago,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,3733.49
Southland,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,3964.44
